Mkt-RF,SMB,HML,RF,year,month
5.56,0.16,-4.44,0.43,1975,2
2.66,3.78,2.38,0.41,1975,3
4.23,-0.65,-1.14,0.44,1975,4
5.19,3.83,-4.1,0.44,1975,5
4.83,0.87,1.38,0.41,1975,6
-6.59,2.7,1.69,0.48,1975,7
-2.85,-3.25,-0.95,0.48,1975,8
-4.26,-0.1,0.39,0.53,1975,9
5.31,-4.03,0.28,0.56,1975,10
2.64,-1.2,2.03,0.41,1975,11
-1.6,-0.78,1.69,0.48,1975,12
12.16,4.81,8.63,0.47,1976,1
0.32,7.06,5.87,0.34,1976,2
2.32,-1.16,-0.12,0.4,1976,3
-1.49,-0.11,-0.16,0.42,1976,4
-1.34,-1.23,-1.36,0.37,1976,5
4.05,-1.32,0.71,0.43,1976,6
-1.07,0.29,1.73,0.47,1976,7
-0.56,-2,0.81,0.42,1976,8
2.07,-0.02,-0.29,0.44,1976,9
-2.42,0.22,-0.18,0.41,1976,10
0.36,2.32,1.51,0.4,1976,11
5.65,3.03,2.27,0.4,1976,12
-4.05,4.76,4.27,0.36,1977,1
-1.94,1.04,0.47,0.35,1977,2
-1.37,1,1.09,0.38,1977,3
0.15,-0.12,3.38,0.38,1977,4
-1.45,1.18,0.85,0.37,1977,5
4.71,2.09,-0.74,0.4,1977,6
-1.69,2.16,-0.56,0.42,1977,7
-1.75,1.48,-2.7,0.44,1977,8
-0.27,1.34,-0.52,0.43,1977,9
-4.38,1.25,1.75,0.49,1977,10
4,3.73,0.26,0.5,1977,11
0.27,1.32,-0.29,0.49,1977,12
-6.01,2.24,3.36,0.49,1978,1
-1.38,3.59,0.83,0.46,1978,2
2.85,3.49,1.18,0.53,1978,3
7.88,0.45,-3.54,0.54,1978,4
1.76,4.56,-0.52,0.51,1978,5
-1.69,1.66,0.57,0.54,1978,6
5.11,0.23,-1.15,0.56,1978,7
3.75,5.06,-0.51,0.56,1978,8
-1.43,-0.43,1.89,0.62,1978,9
-11.91,-9.86,1.38,0.68,1978,10
2.71,2.97,-2.15,0.7,1978,11
0.88,1.29,-2.13,0.78,1978,12
4.23,3.62,2.19,0.77,1979,1
-3.56,0.45,1.17,0.73,1979,2
5.68,3.26,-0.71,0.81,1979,3
-0.06,2.15,1.12,0.8,1979,4
-2.21,0.21,1.31,0.82,1979,5
3.85,1.17,1.44,0.81,1979,6
0.82,1.28,1.86,0.77,1979,7
5.53,2.05,-1.58,0.77,1979,8
-0.82,-0.27,-0.9,0.83,1979,9
-8.1,-3.37,-1.84,0.87,1979,10
5.21,2.87,-3.29,0.99,1979,11
1.79,4.17,-2.1,0.95,1979,12
5.51,1.62,1.75,0.8,1980,1
-1.22,-1.85,0.61,0.89,1980,2
-12.9,-6.64,-1.01,1.21,1980,3
3.97,1.05,1.06,1.26,1980,4
5.26,2.13,0.38,0.81,1980,5
3.06,1.66,-0.76,0.61,1980,6
6.49,4.14,-6.41,0.53,1980,7
1.8,3.92,-2.6,0.64,1980,8
2.19,0.98,-4.59,0.75,1980,9
1.06,2.47,-2.76,0.95,1980,10
9.59,-3.36,-8.33,0.96,1980,11
-4.52,-0.26,2.79,1.31,1980,12
-5.04,2.92,6.72,1.04,1981,1
0.57,-0.34,1.02,1.07,1981,2
3.56,3.54,0.64,1.21,1981,3
-2.11,4.4,2.28,1.08,1981,4
0.11,2,-0.42,1.15,1981,5
-2.36,-0.83,5.13,1.35,1981,6
-1.54,-2.19,-0.5,1.24,1981,7
-7.04,-1.95,4.76,1.28,1981,8
-7.17,-2.65,5.17,1.24,1981,9
4.92,2.23,-4.21,1.21,1981,10
3.36,-1.03,1.83,1.07,1981,11
-3.65,1.2,0.81,0.87,1981,12
-3.24,-1.28,3.19,0.8,1982,1
-5.86,0.44,6.05,0.92,1982,2
-1.87,-0.21,3.81,0.98,1982,3
3.27,1.47,-2.7,1.13,1982,4
-3.99,0.52,1.75,1.06,1982,5
-3.09,-0.4,1.53,0.96,1982,6
-3.19,0.83,0.09,1.05,1982,7
11.14,-4.14,0.95,0.76,1982,8
1.29,2.95,0.28,0.51,1982,9
11.3,2.34,-3.66,0.59,1982,10
4.67,4.67,-1.87,0.63,1982,11
0.55,-0.22,-0.02,0.67,1982,12
3.6,2.73,-0.75,0.69,1983,1
2.59,3.27,0.7,0.62,1983,2
2.82,1.73,2.02,0.63,1983,3
6.67,0.5,0.49,0.71,1983,4
0.52,6.24,-1.4,0.69,1983,5
3.07,0.95,-3.9,0.67,1983,6
-4.07,1.5,5.62,0.74,1983,7
-0.5,-4.28,5.54,0.76,1983,8
0.91,0.61,1.01,0.76,1983,9
-3.44,-3.57,4.97,0.76,1983,10
2.16,2.01,-0.72,0.7,1983,11
-1.78,-0.27,1.73,0.73,1983,12
-1.92,-0.38,7.58,0.76,1984,1
-4.82,-1.69,3.33,0.71,1984,2
0.63,0.07,0.46,0.73,1984,3
-0.51,-1.16,1.2,0.81,1984,4
-5.97,0.06,0.31,0.78,1984,5
1.82,-0.3,-2.66,0.75,1984,6
-2.74,-2.21,0.36,0.82,1984,7
10.28,-0.24,-1.82,0.83,1984,8
-0.8,0.17,5.28,0.86,1984,9
-0.84,-1.23,0.45,1,1984,10
-1.76,-0.65,4.06,0.73,1984,11
1.84,-0.56,-0.26,0.64,1984,12
7.99,3.31,-5.35,0.65,1985,1
1.22,0.79,-0.1,0.58,1985,2
-0.84,-1.08,4.07,0.62,1985,3
-0.96,0.14,3.72,0.72,1985,4
5.09,-2.22,-0.96,0.66,1985,5
1.27,0.52,0.38,0.55,1985,6
-0.74,2.84,-1.62,0.62,1985,7
-1.02,-0.3,2.32,0.55,1985,8
-4.54,-1.59,1.29,0.6,1985,9
4.02,-1.51,0.75,0.65,1985,10
6.48,0.25,-2.85,0.61,1985,11
3.88,-0.51,-1.54,0.65,1985,12
0.65,1.21,0.44,0.56,1986,1
7.13,-0.54,-0.72,0.53,1986,2
4.88,-0.59,-0.39,0.6,1986,3
-1.31,2.78,-2.87,0.52,1986,4
4.62,-1.35,-0.21,0.49,1986,5
1.03,-0.96,1.28,0.52,1986,6
-6.45,-3.36,4.7,0.52,1986,7
6.07,-4.17,3.51,0.46,1986,8
-8.6,2.36,3.22,0.45,1986,9
4.66,-2.5,-1.42,0.46,1986,10
1.17,-1.91,-0.07,0.39,1986,11
-3.27,0.13,0.36,0.49,1986,12
12.47,-1.81,-3.16,0.42,1987,1
4.39,3.49,-5.91,0.43,1987,2
1.64,0.45,1.61,0.47,1987,3
-2.11,-1.69,-0.39,0.44,1987,4
0.11,-0.5,0.23,0.38,1987,5
3.94,-2.12,1.04,0.48,1987,6
3.85,-0.69,0.68,0.46,1987,7
3.52,-0.77,-0.93,0.47,1987,8
-2.59,0.54,0.27,0.45,1987,9
-23.24,-8.43,4.24,0.6,1987,10
-7.77,2.72,2.95,0.35,1987,11
6.81,0.13,-4.43,0.39,1987,12
4.21,-0.72,5.01,0.29,1988,1
4.75,3.34,-1.71,0.46,1988,2
-2.27,6.15,0.73,0.44,1988,3
0.56,1,1.67,0.46,1988,4
-0.29,-2.6,2.42,0.51,1988,5
4.79,2.11,-1.24,0.49,1988,6
-1.25,-0.25,2.22,0.51,1988,7
-3.31,0.04,2.15,0.59,1988,8
3.3,-1.31,-0.75,0.62,1988,9
1.15,-2.93,2.05,0.61,1988,10
-2.29,-1.72,1.41,0.57,1988,11
1.49,1.95,-1.69,0.63,1988,12
6.1,-2.23,0.6,0.55,1989,1
-2.25,2.82,1.01,0.61,1989,2
1.57,0.67,0.58,0.67,1989,3
4.33,-0.68,-1.42,0.67,1989,4
3.35,-0.05,-0.88,0.79,1989,5
-1.35,-1.02,2.25,0.71,1989,6
7.2,-4.14,-2.79,0.7,1989,7
1.44,0.56,0.6,0.74,1989,8
-0.76,0.32,-1.27,0.65,1989,9
-3.67,-3.23,-1.11,0.68,1989,10
1.03,-1.24,-1.09,0.69,1989,11
1.16,-2.36,0.16,0.61,1989,12
-7.85,-1.24,0.85,0.57,1990,1
1.11,0.99,0.64,0.57,1990,2
1.83,1.5,-2.92,0.64,1990,3
-3.36,-0.46,-2.59,0.69,1990,4
8.42,-2.53,-3.83,0.68,1990,5
-1.09,1.4,-1.93,0.63,1990,6
-1.9,-3.12,-0.03,0.68,1990,7
-10.15,-3.57,1.64,0.66,1990,8
-6.12,-3.65,0.64,0.6,1990,9
-1.92,-5.57,0.1,0.68,1990,10
6.35,0.43,-3.1,0.57,1990,11
2.46,0.81,-1.7,0.6,1990,12
4.69,3.81,-1.6,0.52,1991,1
7.19,3.95,-0.58,0.48,1991,2
2.65,3.93,-1.39,0.44,1991,3
-0.28,0.48,1.5,0.53,1991,4
3.65,-0.4,-0.52,0.47,1991,5
-4.94,0.13,1.15,0.42,1991,6
4.24,-0.92,-1.32,0.49,1991,7
2.32,1.58,-0.78,0.46,1991,8
-1.59,1.64,-1.08,0.46,1991,9
1.29,0.81,-0.47,0.42,1991,10
-4.19,-0.5,-1.89,0.39,1991,11
10.84,-2.24,-4.17,0.38,1991,12
-0.59,8.46,4.71,0.34,1992,1
1.09,0.87,6.47,0.28,1992,2
-2.66,-1.04,3.56,0.34,1992,3
1.07,-6.06,4.34,0.32,1992,4
0.3,0.41,1.19,0.28,1992,5
-2.34,-3.07,3.24,0.32,1992,6
3.77,-0.47,-0.56,0.31,1992,7
-2.38,-0.13,-1.1,0.26,1992,8
1.19,0.54,-0.26,0.26,1992,9
1.02,2.09,-1.98,0.23,1992,10
4.13,3.76,-1.35,0.23,1992,11
1.53,1.69,2.62,0.28,1992,12
0.93,1.89,5.94,0.23,1993,1
0.12,-3.48,6.42,0.22,1993,2
2.3,0.24,1.18,0.25,1993,3
-3.05,-0.67,2.49,0.24,1993,4
2.89,2.04,-3.42,0.22,1993,5
0.31,-0.29,2.75,0.25,1993,6
-0.34,0.96,2.85,0.24,1993,7
3.71,0.13,0.13,0.25,1993,8
-0.12,3.04,-0.31,0.26,1993,9
1.41,2.03,-2.76,0.22,1993,10
-1.89,-1.25,-0.74,0.25,1993,11
1.65,1.23,0.32,0.23,1993,12
2.87,0.34,1.15,0.25,1994,1
-2.55,2.8,-1.54,0.21,1994,2
-4.78,-1.08,1.6,0.27,1994,3
0.68,-0.93,1.66,0.27,1994,4
0.58,-2.15,0.67,0.31,1994,5
-3.03,-0.41,1.67,0.31,1994,6
2.82,-1.81,0.58,0.28,1994,7
4.01,1.45,-2.51,0.37,1994,8
-2.31,3.14,-1.89,0.37,1994,9
1.34,-2.24,-1.62,0.38,1994,10
-4.04,0.25,-0.7,0.37,1994,11
0.86,0.22,-0.13,0.44,1994,12
1.8,-3.5,2.57,0.42,1995,1
3.63,-0.66,1.08,0.4,1995,2
2.19,-0.16,-2.15,0.46,1995,3
2.11,-0.49,1.71,0.44,1995,4
2.9,-2.55,2.29,0.54,1995,5
2.72,3.18,-2.54,0.47,1995,6
3.72,2.07,-1.62,0.45,1995,7
0.55,1.35,2.79,0.47,1995,8
3.35,-2.2,-0.04,0.43,1995,9
-1.52,-3.78,-0.5,0.47,1995,10
3.96,-1.09,0.51,0.42,1995,11
1.03,0.7,0.22,0.49,1995,12
2.26,-2.73,0.38,0.43,1996,1
1.33,1.79,-1.08,0.39,1996,2
0.73,1.49,0.35,0.39,1996,3
2.06,5.23,-4.02,0.46,1996,4
2.36,3.17,-0.83,0.42,1996,5
-1.14,-4.01,2.35,0.4,1996,6
-5.97,-4.31,5.14,0.45,1996,7
2.77,2.44,-0.74,0.41,1996,8
5.01,-0.98,-2.72,0.44,1996,9
0.86,-4.44,4.94,0.42,1996,10
6.25,-4.02,1.39,0.41,1996,11
-1.7,3.16,1.31,0.46,1996,12
4.99,-1.95,-1.42,0.45,1997,1
-0.49,-3.22,5.67,0.39,1997,2
-5.03,-0.36,3.39,0.43,1997,3
4.04,-5.77,0.07,0.43,1997,4
6.74,5.19,-4.13,0.49,1997,5
4.1,1.22,1.58,0.37,1997,6
7.33,-2.74,0.26,0.43,1997,7
-4.15,7.28,1.18,0.41,1997,8
5.35,2.53,0.37,0.44,1997,9
-3.8,-0.73,2.27,0.42,1997,10
2.98,-5.12,1.2,0.39,1997,11
1.32,-2.48,3.84,0.48,1997,12
0.15,-1.07,-1.63,0.43,1998,1
7.04,0.32,-0.85,0.39,1998,2
4.76,-1.14,1.39,0.39,1998,3
0.73,0.07,0.94,0.43,1998,4
-3.07,-3.38,3.44,0.4,1998,5
3.18,-3.21,-1.96,0.41,1998,6
-2.46,-4.91,-1.78,0.4,1998,7
-16.08,-5.69,3.53,0.43,1998,8
6.15,0.09,-3.42,0.46,1998,9
7.13,-3.12,-2.23,0.32,1998,10
6.1,1.23,-3.25,0.31,1998,11
6.16,-0.5,-4.19,0.38,1998,12
3.5,0.75,-4.6,0.35,1999,1
-4.08,-6.08,1.92,0.35,1999,2
3.45,-3.8,-2.74,0.43,1999,3
4.33,3.91,2.46,0.37,1999,4
-2.46,3.34,2.35,0.34,1999,5
4.77,3.1,-3.19,0.4,1999,6
-3.49,2.6,-0.44,0.38,1999,7
-1.38,-0.94,-1.87,0.39,1999,8
-2.79,3.41,-3.49,0.39,1999,9
6.12,-6.64,-3.37,0.39,1999,10
3.37,7.21,-6.12,0.36,1999,11
7.72,7.03,-8.33,0.44,1999,12
-4.74,5.77,-1.88,0.41,2000,1
2.45,21.36,-9.59,0.43,2000,2
5.2,-17.2,8.13,0.47,2000,3
-6.4,-6.68,7.26,0.46,2000,4
-4.42,-6.05,4.75,0.5,2000,5
4.64,12.84,-8.42,0.4,2000,6
-2.51,-3.07,8.31,0.48,2000,7
7.03,-0.61,-1.39,0.5,2000,8
-5.45,-1.82,7.17,0.51,2000,9
-2.76,-3.88,5.71,0.56,2000,10
-10.72,-3.41,12.3,0.51,2000,11
1.19,0.73,7.61,0.5,2000,12
3.13,6.68,-5.07,0.54,2001,1
-10.05,-0.78,12.47,0.38,2001,2
-7.26,0.25,6.42,0.42,2001,3
7.94,0.55,-4.67,0.39,2001,4
0.72,2.5,3.36,0.32,2001,5
-1.94,6.24,-1.12,0.28,2001,6
-2.13,-4.19,5.21,0.3,2001,7
-6.46,2.48,2.31,0.31,2001,8
-9.25,-6.23,1.45,0.28,2001,9
2.46,7.48,-7.65,0.22,2001,10
7.54,-0.47,2.21,0.17,2001,11
1.6,4.74,0.84,0.15,2001,12
-1.44,1.19,3.44,0.14,2002,1
-2.29,-1.01,2.16,0.13,2002,2
4.24,4.21,1.06,0.13,2002,3
-5.2,5.96,3.88,0.15,2002,4
-1.38,-3.21,1.53,0.14,2002,5
-7.21,4.29,-0.05,0.13,2002,6
-8.18,-5.28,-3.85,0.15,2002,7
0.5,-2.86,3.28,0.14,2002,8
-10.35,2.4,1.47,0.14,2002,9
7.84,-3.41,-3.95,0.14,2002,10
5.96,3.18,-1.23,0.12,2002,11
-5.76,0.09,2.14,0.11,2002,12
-2.57,1.33,-0.83,0.1,2003,1
-1.88,-0.45,-1.39,0.09,2003,2
1.09,1.02,-1.93,0.1,2003,3
8.22,0.63,1.14,0.1,2003,4
6.05,4.67,0.4,0.09,2003,5
1.42,1.74,0.11,0.1,2003,6
2.35,5.06,-1.24,0.07,2003,7
2.34,2.59,1.53,0.07,2003,8
-1.24,0.8,0.16,0.08,2003,9
6.08,2.7,1.97,0.07,2003,10
1.35,2.08,1.78,0.07,2003,11
4.29,-2.68,1.6,0.08,2003,12
2.15,2.55,2.49,0.07,2004,1
1.4,-1.58,0.9,0.06,2004,2
-1.32,1.72,0.27,0.09,2004,3
-1.83,-1.68,-3.1,0.08,2004,4
1.17,-0.2,-0.25,0.06,2004,5
1.86,2.26,1.18,0.08,2004,6
-4.06,-3.81,3.24,0.1,2004,7
0.08,-1.48,0.97,0.11,2004,8
1.6,3.01,0,0.11,2004,9
1.43,0.15,-0.22,0.11,2004,10
4.54,3.74,1.41,0.15,2004,11
3.43,-0.03,-0.22,0.16,2004,12
-2.76,-1.72,2.06,0.16,2005,1
1.89,-0.57,1.54,0.16,2005,2
-1.97,-1.4,2.04,0.21,2005,3
-2.61,-3.94,0.07,0.21,2005,4
3.65,2.89,-0.64,0.24,2005,5
0.57,2.58,2.83,0.23,2005,6
3.92,2.91,-0.79,0.24,2005,7
-1.22,-0.97,1.32,0.3,2005,8
0.49,-0.65,0.71,0.29,2005,9
-2.02,-1.25,0.42,0.27,2005,10
3.61,0.99,-1.16,0.31,2005,11
-0.25,-0.42,0.2,0.32,2005,12
3.04,5.39,1.08,0.35,2006,1
-0.3,-0.38,-0.34,0.34,2006,2
1.46,3.44,0.6,0.37,2006,3
0.73,-1.42,2.34,0.36,2006,4
-3.57,-2.96,2.41,0.43,2006,5
-0.35,-0.39,0.85,0.4,2006,6
-0.78,-3.98,2.6,0.4,2006,7
2.03,1.03,-2.06,0.42,2006,8
1.84,-1.36,0.08,0.41,2006,9
3.23,1.75,-0.31,0.41,2006,10
1.71,0.7,0.14,0.42,2006,11
0.87,-1.14,2.73,0.4,2006,12
1.4,0.13,-0.68,0.44,2007,1
-1.96,1.19,-0.14,0.38,2007,2
0.68,0.16,-0.97,0.43,2007,3
3.49,-2.16,-1.45,0.44,2007,4
3.24,0.24,-0.65,0.41,2007,5
-1.96,0.74,-1.05,0.4,2007,6
-3.73,-2.61,-3.71,0.4,2007,7
0.92,-0.12,-1.86,0.42,2007,8
3.22,-2.23,-2.21,0.32,2007,9
1.8,0.08,-2.98,0.32,2007,10
-4.83,-2.93,-0.94,0.34,2007,11
-0.87,0.13,-0.55,0.27,2007,12
-6.36,-1.03,3.97,0.21,2008,1
-3.09,-0.43,-0.84,0.13,2008,2
-0.93,0.71,0.3,0.17,2008,3
4.6,-1.72,-0.94,0.18,2008,4
1.86,2.96,-1.43,0.18,2008,5
-8.44,1.23,-2.71,0.17,2008,6
-0.77,2.61,5.42,0.15,2008,7
1.53,3.6,1.59,0.13,2008,8
-9.24,-1.23,5.91,0.15,2008,9
-17.23,-2.6,-2.3,0.08,2008,10
-7.86,-2.85,-6.31,0.03,2008,11
1.74,3.46,0.14,0,2008,12
-8.12,0.07,-11.29,0,2009,1
-10.1,0.05,-6.95,0.01,2009,2
8.95,0.03,3.47,0.02,2009,3
10.18,5.4,5.36,0.01,2009,4
5.21,-2.52,0.28,0,2009,5
0.43,2.63,-2.73,0.01,2009,6
7.72,1.87,4.83,0.01,2009,7
3.33,-1.08,7.63,0.01,2009,8
4.08,2.43,1.05,0.01,2009,9
-2.59,-4.35,-4.21,0,2009,10
5.56,-2.4,-0.34,0,2009,11
2.75,6.05,-0.17,0.01,2009,12
-3.36,0.4,0.43,0,2010,1
3.4,1.19,3.23,0,2010,2
6.31,1.48,2.21,0.01,2010,3
2,4.87,2.89,0.01,2010,4
-7.89,0.09,-2.44,0.01,2010,5
-5.57,-1.82,-4.7,0.01,2010,6
6.93,0.2,-0.31,0.01,2010,7
-4.77,-3,-1.9,0.01,2010,8
9.54,3.96,-3.16,0.01,2010,9
3.88,1.14,-2.43,0.01,2010,10
0.6,3.77,-0.96,0.01,2010,11
6.82,0.73,3.7,0.01,2010,12
1.99,-2.5,0.83,0.01,2011,1
3.49,1.53,1.27,0.01,2011,2
0.46,2.54,-1.83,0.01,2011,3
2.9,-0.38,-2.43,0,2011,4
-1.27,-0.59,-2.12,0,2011,5
-1.75,-0.12,-0.42,0,2011,6
-2.35,-1.26,-0.9,0,2011,7
-5.99,-3.05,-2.36,0.01,2011,8
-7.59,-3.31,-1.72,0,2011,9
11.35,3.28,0.1,0,2011,10
-0.28,-0.16,-0.46,0,2011,11
0.74,-0.59,1.63,0,2011,12
5.05,2.04,-0.97,0,2012,1
4.42,-1.85,0.43,0,2012,2
3.11,-0.64,1.14,0,2012,3
-0.85,-0.42,-0.78,0,2012,4
-6.19,0.07,-1.07,0.01,2012,5
3.89,0.67,0.62,0,2012,6
0.79,-2.74,-0.02,0,2012,7
2.55,0.47,1.3,0.01,2012,8
2.73,0.5,1.6,0.01,2012,9
-1.76,-1.15,3.59,0.01,2012,10
0.78,0.63,-0.84,0.01,2012,11
1.18,1.48,3.51,0.01,2012,12
5.57,0.33,0.96,0,2013,1
1.29,-0.27,0.11,0,2013,2
4.03,0.81,-0.19,0,2013,3
1.55,-2.37,0.45,0,2013,4
2.8,1.7,2.63,0,2013,5
-1.2,1.33,0.03,0,2013,6
5.65,1.87,0.57,0,2013,7
-2.71,0.27,-2.69,0,2013,8
3.77,2.88,-1.22,0,2013,9
4.18,-1.53,1.25,0,2013,10
3.13,1.29,0.32,0,2013,11
2.81,-0.46,-0.02,0,2013,12
-3.32,0.89,-2.07,0,2014,1
4.65,0.35,-0.31,0,2014,2
0.43,-1.81,4.93,0,2014,3
-0.19,-4.19,1.17,0,2014,4
2.06,-1.88,-0.13,0,2014,5
2.61,3.09,-0.7,0,2014,6
-2.04,-4.29,0.03,0,2014,7
4.24,0.4,-0.45,0,2014,8
-1.97,-3.71,-1.34,0,2014,9
2.52,4.21,-1.81,0,2014,10
2.55,-2.06,-3.09,0,2014,11
-0.06,2.49,2.27,0,2014,12
-3.11,-0.56,-3.58,0,2015,1
6.13,0.63,-1.86,0,2015,2
-1.12,3.04,-0.37,0,2015,3
0.59,-3.06,1.82,0,2015,4
1.36,0.93,-1.14,0,2015,5
-1.53,2.91,-0.79,0,2015,6
1.54,-4.17,-4.13,0,2015,7
-6.04,0.33,2.77,0,2015,8
-3.07,-2.62,0.56,0,2015,9
7.75,-1.88,-0.46,0,2015,10
0.56,3.6,-0.42,0,2015,11
-2.17,-2.84,-2.61,0.01,2015,12
-5.77,-3.42,2.09,0.01,2016,1
-0.07,0.73,-0.57,0.02,2016,2
6.96,0.82,1.19,0.02,2016,3
0.91,0.76,3.28,0.01,2016,4
1.78,-0.17,-1.66,0.01,2016,5
-0.05,0.61,-1.48,0.02,2016,6
3.95,2.49,-1.32,0.02,2016,7
0.49,1.15,3.18,0.02,2016,8
0.25,2.12,-1.24,0.02,2016,9
-2.02,-4.4,4.09,0.02,2016,10
4.86,5.71,8.21,0.01,2016,11
1.82,0.1,3.53,0.03,2016,12
1.94,-1.19,-2.75,0.04,2017,1
3.57,-2.05,-1.67,0.04,2017,2
0.17,1.14,-3.35,0.03,2017,3
1.09,0.73,-2.13,0.05,2017,4
1.06,-2.57,-3.78,0.06,2017,5
0.78,2.25,1.48,0.06,2017,6
1.87,-1.51,-0.31,0.07,2017,7
0.16,-1.67,-2.09,0.09,2017,8
2.51,4.47,3.14,0.09,2017,9
2.25,-1.94,0.2,0.09,2017,10
3.12,-0.55,-0.03,0.08,2017,11
1.06,-1.32,0.06,0.09,2017,12
5.57,-3.13,-1.29,0.12,2018,1
-3.65,0.25,-1.04,0.11,2018,2
-2.35,4.06,-0.21,0.11,2018,3
0.28,1.13,0.54,0.14,2018,4
2.65,5.25,-3.2,0.14,2018,5
0.48,1.14,-2.34,0.14,2018,6
3.19,-2.22,0.47,0.16,2018,7
3.44,1.14,-3.94,0.16,2018,8
0.06,-2.27,-1.7,0.15,2018,9
-7.68,-4.78,3.4,0.19,2018,10
1.69,-0.68,0.3,0.18,2018,11
-9.57,-2.38,-1.84,0.2,2018,12
8.4,2.9,-0.46,0.21,2019,1
3.4,2.05,-2.67,0.18,2019,2
1.1,-3.05,-4.17,0.19,2019,3
3.97,-1.74,2.15,0.21,2019,4
-6.94,-1.32,-2.37,0.21,2019,5
6.93,0.29,-0.71,0.18,2019,6
1.19,-1.93,0.48,0.19,2019,7
-2.58,-2.38,-4.78,0.16,2019,8
1.43,-0.96,6.75,0.18,2019,9
2.06,0.29,-1.91,0.16,2019,10
3.87,0.77,-2.02,0.12,2019,11
2.77,0.73,1.75,0.14,2019,12
-0.11,-3.11,-6.25,0.13,2020,1
-8.13,1.07,-3.81,0.12,2020,2
-13.39,-4.83,-13.87,0.13,2020,3
13.65,2.45,-1.33,0,2020,4
5.58,2.47,-4.88,0.01,2020,5
2.46,2.69,-2.2,0.01,2020,6
5.77,-2.33,-1.41,0.01,2020,7
7.63,-0.22,-2.97,0.01,2020,8
-3.63,0.02,-2.71,0.01,2020,9
-2.1,4.38,4.25,0.01,2020,10
12.47,5.8,2.09,0.01,2020,11
4.63,4.89,-1.51,0.01,2020,12
-0.03,7.36,3.01,0.01,2021,1
2.78,2.05,7.15,0,2021,2
3.08,-2.37,7.39,0,2021,3
4.93,-3.19,-0.95,0,2021,4
0.29,-0.25,7.09,0,2021,5
2.75,1.68,-7.87,0,2021,6
1.27,-3.97,-1.78,0,2021,7
2.91,-0.42,-0.15,0,2021,8
-4.37,0.71,5.08,0,2021,9
6.65,-2.35,-0.49,0,2021,10
-1.55,-1.32,-0.45,0,2021,11
3.1,-1.67,3.26,0.01,2021,12
-6.25,-5.94,12.75,0,2022,1
-2.29,2.19,3.08,0,2022,2
3.05,-1.61,-1.81,0.01,2022,3
-9.46,-1.39,6.17,0.01,2022,4
-0.34,-1.83,8.39,0.03,2022,5
-8.43,2.1,-5.97,0.06,2022,6
9.57,2.81,-4.05,0.08,2022,7
-3.77,1.4,0.29,0.19,2022,8
-9.35,-0.81,0.05,0.19,2022,9
7.83,0.06,8.01,0.23,2022,10
4.6,-3.52,1.38,0.29,2022,11
-6.41,-0.69,1.37,0.33,2022,12
6.65,5.01,-4.01,0.35,2023,1
-2.58,1.17,-0.81,0.34,2023,2
2.51,-5.51,-8.85,0.36,2023,3
0.61,-3.35,-0.04,0.35,2023,4
0.35,1.61,-7.72,0.36,2023,5
6.46,1.54,-0.26,0.4,2023,6
3.21,2.08,4.11,0.45,2023,7
-2.39,-3.16,-1.06,0.45,2023,8
-5.24,-2.51,1.52,0.43,2023,9
-3.19,-3.88,0.18,0.47,2023,10
8.84,-0.02,1.64,0.44,2023,11
4.87,6.34,4.93,0.43,2023,12
0.71,-5.09,-2.38,0.47,2024,1
5.06,-0.24,-3.49,0.42,2024,2
2.83,-2.49,4.19,0.43,2024,3
